date,year,month,day_of_year,weekday,day_name,day_type,activity_type,floor_area_m2,volume_m3,operating_hours,occupancy_factor,lighting_schedule_factor,equipment_schedule_factor,fan_schedule_factor,pump_schedule_factor,heating_setpoint_c,cooling_setpoint_c,heating_mode_weight,cooling_mode_weight,shoulder_mode_weight,seasonal_energy_proxy_factor,source
2020-01-11,2020,1,11,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1716,0.2959,0.3787,0.1538,0.14,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-12,2020,1,12,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-13,2020,1,13,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-14,2020,1,14,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-15,2020,1,15,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-16,2020,1,16,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-17,2020,1,17,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1716,0.2959,0.3787,0.1538,0.14,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-18,2020,1,18,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1716,0.2959,0.3787,0.1538,0.14,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-19,2020,1,19,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-20,2020,1,20,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-21,2020,1,21,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-22,2020,1,22,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-23,2020,1,23,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-24,2020,1,24,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1716,0.2959,0.3787,0.1538,0.14,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-25,2020,1,25,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1716,0.2959,0.3787,0.1538,0.14,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-26,2020,1,26,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-27,2020,1,27,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-28,2020,1,28,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-29,2020,1,29,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-30,2020,1,30,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-31,2020,1,31,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1716,0.2959,0.3787,0.1538,0.14,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-01,2020,2,32,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1936,0.3146,0.3952,0.1586,0.1452,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-02,2020,2,33,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-03,2020,2,34,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-04,2020,2,35,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-05,2020,2,36,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-06,2020,2,37,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-07,2020,2,38,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1936,0.3146,0.3952,0.1586,0.1452,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-08,2020,2,39,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1936,0.3146,0.3952,0.1586,0.1452,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-09,2020,2,40,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-10,2020,2,41,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-11,2020,2,42,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-12,2020,2,43,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-13,2020,2,44,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-14,2020,2,45,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1936,0.3146,0.3952,0.1586,0.1452,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-15,2020,2,46,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1936,0.3146,0.3952,0.1586,0.1452,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-16,2020,2,47,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-17,2020,2,48,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-18,2020,2,49,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-19,2020,2,50,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-20,2020,2,51,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-21,2020,2,52,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1936,0.3146,0.3952,0.1586,0.1452,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-22,2020,2,53,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1936,0.3146,0.3952,0.1586,0.1452,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-23,2020,2,54,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-24,2020,2,55,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-25,2020,2,56,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-26,2020,2,57,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-27,2020,2,58,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.88,0.898,0.91,0.922,0.916,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-02-28,2020,2,59,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1936,0.3146,0.3952,0.1586,0.1452,22.0,24.0,0.95,0.0,0.050000000000000044,1.05,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-01,2020,3,61,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-02,2020,3,62,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-03,2020,3,63,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-04,2020,3,64,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-05,2020,3,65,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-06,2020,3,66,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-07,2020,3,67,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-08,2020,3,68,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-09,2020,3,69,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-10,2020,3,70,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-11,2020,3,71,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-12,2020,3,72,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-13,2020,3,73,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-14,2020,3,74,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-15,2020,3,75,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-16,2020,3,76,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-17,2020,3,77,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-18,2020,3,78,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-19,2020,3,79,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-20,2020,3,80,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-21,2020,3,81,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-22,2020,3,82,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-23,2020,3,83,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-24,2020,3,84,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-25,2020,3,85,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-26,2020,3,86,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-27,2020,3,87,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-28,2020,3,88,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-29,2020,3,89,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-30,2020,3,90,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-03-31,2020,3,91,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.45,0.15,0.55,0.94,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-01,2020,4,92,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-02,2020,4,93,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-03,2020,4,94,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-04,2020,4,95,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-05,2020,4,96,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-06,2020,4,97,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-07,2020,4,98,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-08,2020,4,99,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-09,2020,4,100,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-10,2020,4,101,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-11,2020,4,102,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-12,2020,4,103,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-13,2020,4,104,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-14,2020,4,105,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-15,2020,4,106,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-16,2020,4,107,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,1.0,1.0,1.0,1.0,1.0,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-17,2020,4,108,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-04-18,2020,4,109,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.22,0.337,0.415,0.1643,0.1513,22.0,24.0,0.0,0.35,0.65,0.88,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
